iter	Passed	Remaining
507	1544173	1495537
508	1547169	1492456
509	1550128	1489339
510	1553204	1486334
511	1555768	1482841
512	1559270	1480243
513	1562436	1477323
514	1565745	1474536
515	1568776	1471487
516	1572423	1469015
517	1575763	1466250
518	1579084	1463467
519	1582831	1461074
520	1585902	1458056
521	1589674	1455678
522	1592467	1452403
523	1595296	1449162
524	1598178	1445971
525	1601496	1443173
526	1604934	1440482
527	1607891	1437357
528	1610794	1434185
529	1613340	1430697
530	1616646	1427885
531	1619656	1424810
532	1622784	1421839
533	1625852	1418815
534	1628361	1415304
535	1632784	1413455
536	1635668	1410268
537	1638616	1407139
538	1641950	1404339
539	1644854	1401171
540	1648457	1398598
541	1651591	1395625
542	1655026	1392904
543	1657872	1389687
544	1661169	1386847
545	1664299	1383867
546	1667545	1380983
547	1671013	1378281
548	1673626	1374873
549	1676528	1371705
550	1679786	1368827
551	1682571	1365565
552	1685635	1362530
553	1689229	1359920
554	1693085	1357518
555	1696329	1354623
556	1699860	1351953
557	1702930	1348916
558	1706163	1346007
559	1708799	1342628
560	1712821	1340335
561	1715592	1337062
562	1718213	1333675
563	1721464	1330777
564	1724385	1327624
565	1727733	1324799
566	1731876	1322579
567	1735418	1319895
568	1739145	1317349
569	1741843	1314022
570	1744648	1310777
571	1748188	1308085
572	1751680	1305353
573	1754358	1302015
574	1757013	1298662
575	1759534	1295212
576	1762278	1291930
577	1765541	1289028
578	1768794	1286118
579	1771894	1283096
580	1775202	1280223
581	1778437	1277297
582	1781818	1274474
583	1784864	1271410
584	1788109	1268487
585	1790927	1265263
586	1793743	1262037
587	1797272	1259313
588	1800538	1256402
589	1803294	1253137
590	1806031	1249859
591	1808938	1246700
592	1811732	1243465
593	1814937	1240512
594	1818219	1237611
595	1820908	1234306
596	1823862	1231183
597	1827106	1228255
598	1830250	1225259
599	1833748	1222499
600	1836378	1219159
601	1840097	1216542
602	1843408	1213653
603	1846745	1210780
604	1849722	1207670
605	1852574	1204479
606	1855692	1201461
607	1859006	1198570
608	1861817	1195354
609	1864615	1192131
610	1867764	1189132
611	1870895	1186123
612	1874070	1183140
613	1877016	1180013
614	1879666	1176701
615	1882826	1173709
616	1885498	1170414
617	1888999	1167634
618	1892029	1164560
619	1895200	1161574
620	1898818	1158860
621	1902288	1156053
622	1905285	1152957
623	1908880	1150222
624	1912795	1147677
625	1915437	1144366
626	1919054	1141638
627	1922296	1138685
628	1925075	1135458
629	1928846	1132814
630	1931617	1129583
631	1934537	1126439
632	1938104	1123671
633	1941280	1120676
634	1944157	1117507
635	1947592	1114659
636	1951073	1111836
637	1953769	1108564
638	1957073	1105639
639	1960177	1102600
640	1963128	1099474
641	1966304	1096475
642	1969227	1093334
643	1971729	1089962
644	1974335	1086649
645	1977147	1083452
646	1980061	1080312
647	1982655	1076998
648	1985617	1073885
649	1988260	1070601
650	1991364	1067567
651	1995050	1064842
652	1997939	1061692
653	2000866	1058562
654	2003383	1055217
655	2006851	1052373
656	2009835	1049274
657	2013416	1046487
658	2016636	1043510
659	2019788	1040497
660	2023340	1037689
661	2025824	1034333
662	2029074	1031369
663	2031726	1028102
664	2034992	1025146
665	2037974	1022047
666	2040859	1018899
667	2044098	1015929
668	2047163	1012871
669	2050199	1009799
670	2053976	1007091
671	2057323	1004169
672	2060970	1001392
673	2064167	998395
674	2066960	995203
675	2070200	992226
676	2073189	989128
677	2076274	986077
678	2079249	982973
679	2082524	980011
680	2086035	977159
681	2089318	974198
682	2091920	970920
683	2094863	967802
684	2097548	964565
685	2100019	961233
686	2103057	958161
687	2106166	955121
688	2108584	951770
689	2111166	948495
690	2114353	945492
691	2117711	942565
692	2120989	939601
693	2124538	936756
694	2127544	933670
695	2130301	930476
696	2133206	927347
697	2136287	924296
698	2139348	921235
699	2142959	918411
700	2145366	915070
701	2148589	912079
702	2151517	908962
703	2154330	905797
704	2157095	902614
705	2160764	899808
706	2163944	896797
707	2166438	893503
708	2169536	890458
709	2173011	887568
710	2176052	884499
711	2178843	881330
712	2181411	878071
713	2184468	875011
714	2188280	872251
715	2192006	869455
716	2195472	866553
717	2198797	863594
718	2201875	860538
719	2205474	857684
720	2208503	854607
721	2211987	851707
722	2214373	848383
723	2217012	845159
724	2220534	842271
725	2224276	839465
726	2227253	836368
727	2230963	833546
728	2234070	830498
729	2237554	827588
730	2240817	824596
731	2244488	821752
732	2247920	818819
733	2251095	815792
734	2253921	812638
735	2257050	809594
736	2259688	806374
737	2263048	803412
738	2266290	800408
739	2269220	797293
740	2272329	794242
741	2275393	791174
742	2278148	788000
743	2281618	785072
744	2284969	782103
745	2288543	779209
746	2291869	776228
747	2295158	773235
748	2298597	770291
749	2301786	767262
750	2304849	764190
751	2307702	761050
752	2311857	758338
753	2314952	755276
754	2317521	752043
755	2320780	749035
756	2323788	745945
757	2326705	742826
758	2329886	739792
759	2333263	736819
760	2336489	733798
761	2339730	730782
762	2342834	727721
763	2345929	724658
764	2349723	721810
765	2352629	718688
766	2356523	715867
767	2359856	712873
768	2362800	709761
769	2365739	706649
770	2368895	703601
771	2372552	700702
772	2375880	697703
773	2379711	694851
774	2382777	691774
775	2385449	688583
776	2389050	685660
777	2392141	682590
778	2395152	679497
779	2397739	676285
780	2400781	673202
781	2403877	670134
782	2407020	667079
783	2409767	663915
784	2412743	660815
785	2416108	657821
786	2418695	654615
787	2422509	651741
788	2425885	648747
789	2428973	645676
790	2432481	642716
791	2434914	639472
792	2437985	636397
793	2441251	633372
794	2444918	630450
795	2448046	627388
796	2451286	624355
797	2454197	621238
798	2457127	618125
799	2460441	615110
800	2464420	612259
801	2467742	609243
802	2471210	606262
803	2474389	603209
804	2477707	600189
805	2480906	597141
806	2484082	594086
807	2487355	591054
808	2490178	587916
809	2493695	584940
810	2496770	581861
811	2500595	578955
812	2503886	575924
813	2507091	572873
814	2510314	569825
815	2513285	566721
816	2516101	563582
817	2519533	560580
818	2522516	557479
819	2526341	554562
820	2530852	551793
821	2534713	548879
822	2537688	545772
823	2541234	542788
824	2543987	539633
825	2546705	536473
826	2548943	533213
827	2552011	530127
828	2555758	527183
829	2558835	524098
830	2561886	521009
831	2564994	517931
832	2568763	514986
833	2572159	511964
834	2575265	508884
835	2578445	505819
836	2581434	502716
837	2584251	499580
838	2588149	496653
839	2591551	493628
840	2594895	490592
841	2598916	487682
842	2602302	484651
843	2605550	481594
844	2608587	478498
845	2611715	475418
846	2615565	472469
847	2618632	469377
848	2621920	466325
849	2625510	463325
850	2629098	460323
851	2631997	457201
852	2635156	454124
853	2638079	451006
854	2641029	447893
855	2644838	444926
856	2648625	441952
857	2651839	438882
858	2655109	435821
859	2658164	432724
860	2661139	429614
861	2665331	426700
862	2668695	423651
863	2671691	420544
864	2674542	417414
865	2677909	414364
866	2680974	411268
867	2684360	408220
868	2687116	405077
869	2690109	401970
870	2693513	398924
871	2696376	395798
872	2699027	392642
873	2701723	389493
874	2704716	386388
875	2707363	383234
876	2710171	380103
877	2713114	376993
878	2716630	373961
879	2719803	370882
880	2722521	367741
881	2725395	364622
882	2728293	361506
883	2731820	358474
884	2734884	355380
885	2737747	352260
886	2740982	349189
887	2743667	346048
888	2747401	343038
889	2750447	339942
890	2753239	336816
891	2756041	333691
892	2759822	330684
893	2763454	327657
894	2766898	324608
895	2770417	321566
896	2773014	318417
897	2775533	315261
898	2778480	312154
899	2781707	309078
900	2785364	306049
901	2789528	303075
902	2792621	299982
903	2795725	296891
904	2798408	293755
905	2802411	290757
906	2805212	287634
907	2808483	284560
908	2811622	281471
909	2814161	278323
910	2817348	275240
911	2820738	272176
912	2824516	269148
913	2828256	266116
914	2831194	263007
915	2833915	259878
916	2837093	256792
917	2839920	253674
918	2843004	250580
919	2846049	247482
920	2849222	244395
921	2852507	241318
922	2856076	238264
923	2859739	235216
924	2863415	232168
925	2867227	229130
926	2870090	226015
927	2873217	222922
928	2876351	219828
929	2879213	216715
930	2882179	213609
931	2885247	210511
932	2888476	207425
933	2891374	204315
934	2894850	201246
935	2897823	198141
936	2900699	195031
937	2904071	191953
938	2907099	188853
939	2909970	185742
940	2912339	182601
941	2915955	179538
942	2919064	176443
943	2922124	173346
944	2925217	170250
945	2928539	167168
946	2931237	164050
947	2933906	160931
948	2936973	157835
949	2939972	154735
950	2943588	151667
951	2946487	148562
952	2949245	145450
953	2952319	142355
954	2954830	139232
955	2957551	136121
956	2960544	133023
957	2964122	129951
958	2967682	126876
959	2970264	123761
960	2973804	120685
961	2976798	117586
962	2979611	114481
963	2982706	111387
964	2985835	108294
965	2989169	105208
966	2992662	102128
967	2995298	99018
968	2998446	95925
969	3001724	92836
970	3005380	89759
971	3008860	86674
972	3012098	83583
973	3015402	80493
974	3018726	77403
975	3021816	74306
976	3024611	71203
977	3027903	68112
978	3031201	65020
979	3033721	61912
980	3036690	58814
981	3039792	55719
982	3042834	52622
983	3045814	49525
984	3048731	46427
985	3052091	43335
986	3056106	40252
987	3059498	37159
988	3062508	34062
989	3065615	30965
990	3068353	27865
991	3071652	24771
992	3074490	21673
993	3077132	18574
994	3079839	15476
995	3082570	12379
996	3085527	9284
997	3088264	6188
998	3091144	3094
999	3094088	0
